athlete_id,country_id,athlete_name,gender,date,,,,
359,55,DUFFY Flora,Female,1987-09-30,,,,
360,35,TAYLOR-BROWN Georgia,Female,1994-03-15,,,,
361,32,ZAFERES Katie,Female,1989-06-09,,,,
362,13,KUO Hsing-Chun,Female,1993-11-26,,,,
363,56,GURYEVA Polina,Female,1999-10-05,,,,
364,12,ANDOH Mikiko,Female,1992-09-30,,,,
365,31,CHARRON Maude G,Female,1993-04-28,,,,
366,8,BORDIGNON Giorgia,Female,1987-05-24,,,,
367,13,CHEN Wen-Huei,Female,1997-02-23,,,,
368,57,MIEZIS Nauris,Male,1991-03-31,,,,
369,57,LASMANIS Karlis,Male,1994-04-08,,,,
370,57,CAVARS Agnis,Male,1986-07-31,,,,
371,57,KRUMINS Edgars,Male,1985-10-16,,,,
372,21,ZUEV Alexander,Male,1996-10-04,,,,
373,21,KARPENKOV Ilia,Male,1997-02-17,,,,
374,21,PISKLOV Kirill,Male,1996-09-22,,,,
375,21,SHAROV Stanislav,Male,1995-05-29,,,,
376,20,DOMOVIC BULUT Dusan,Male,1985-10-23,,,,
377,20,MAJSTOROVIC Dejan,Male,1988-04-22,,,,
378,20,RATKOV Aleksandar,Male,1992-03-11,,,,
379,20,VASIC Mihailo,Male,1993-07-20,,,,
380,32,YOUNG Jacquelyn,Female,1997-09-16,,,,
381,32,GRAY Allisha,Female,1995-01-12,,,,
382,32,PLUM Kelsey,Female,1994-08-24,,,,
383,32,DOLSON Stefanie,Female,1992-01-08,,,,
384,21,KOZIK Yulia,Female,1997-02-17,,,,
385,21,LOGUNOVA Anastasiia,Female,1990-07-20,,,,
386,21,FROLKINA Evgeniia,Female,1997-07-28,,,,
387,21,FROLKINA Olga,Female,1997-07-28,,,,
388,9,ZHANG Zhiting,Female,1995-12-21,,,,
389,9,WAN Jiyuan,Female,2002-07-13,,,,
390,9,YANG Shuyu,Female,2002-03-06,,,,
391,9,WANG Lili,Female,1992-09-08,,,,
392,12,HASHIMOTO Daiki,Male,2001-08-07,,,,
393,9,XIAO Ruoteng,Male,1996-01-30,,,,
394,21,NAGORNYY Nikita,Male,1997-02-12,,,,
395,6,ROGLIC Primoz,Male,1989-10-29,,,,
396,2,DUMOULIN Tom,Male,1990-11-11,,,,
397,37,DENNIS Rohan,Male,1990-05-28,,,,
398,2,van VLEUTEN Annemiek,Female,1982-10-08,,,,
399,22,REUSSER Marlen,Female,1991-09-20,,,,
400,2,van der BREGGEN Anna,Female,1990-04-18,,,,
401,9,WANG Zongyuan,Male,2001-10-24,,,,
402,9,XIE Siyi,Male,1996-03-28,,,,
403,32,CAPOBIANCO Andrew,Male,1999-10-13,,,,
404,32,HIXON Michael,Male,1994-07-16,,,,
405,29,HAUSDING Patrick,Male,1989-03-09,,,,
406,29,RUDIGER Lars,Male,1996-04-17,,,,
407,29,von BREDOW-WERNDL Jessica,Female,1986-02-16,,,,
408,29,WERTH Isabell,Female,1969-07-21,,,,
409,35,DUJARDIN Charlotte,Female,1985-07-13,,,,
410,1,OH Sanguk,Female,1988-08-04,,,,
411,1,KIM Junho,Male,1994-05-26,,,,
412,1,KIM Junghwan,Male,1983-09-02,,,,
413,1,GU Bongil,Male,1989-04-27,,,,
414,8,MONTANO Aldo,Male,1978-11-18,,,,
415,8,SAMELE Luigi,Male,1987-07-25,,,,
416,8,BERRE' Enrico,Male,1992-11-10,,,,
417,8,CURATOLI Luca,Male,1994-07-25,,,,
418,7,SZILAGYI Aron,Male,1990-01-14,,,,
419,7,SZATMARI Andras,Male,1993-02-03,,,,
420,7,DECSI Tamas,Male,1982-10-15,,,,
421,7,GEMESI Csanad,Male,1986-11-13,,,,
422,33,BEKAURI Lasha,Male,2000-07-26,,,,
423,29,TRIPPEL Eduard,Male,1997-03-26,,,,
424,38,BOBONOV Davlat,Male,1997-06-07,,,,
425,7,TOTH Krisztian,Male,1994-05-01,,,,
426,12,ARAI Chizuru,Female,1993-11-01,,,,
427,30,POLLERES Michaela,Female,1997-07-15,,,,
428,2,van DIJKE Sanne,Female,1995-07-21,,,,
429,21,TAIMAZOVA Madina,Female,1999-06-30,,,,
430,14,BOUCHERON Hugo,Male,1993-05-30,,,,
431,14,ANDRODIAS Matthieu,Male,1990-06-11,,,,
432,2,BROENINK Stef,Male,1990-09-19,,,,
433,2,TWELLAAR Melvin,Male,1996-12-23,,,,
434,9,LIU Zhiyu,Male,1993-01-05,,,,
435,9,ZHANG Liang,Male,1987-01-14,,,,
436,37,TURRIN Spencer,Male,1991-08-29,,,,
437,37,HARGREAVES Jack,Male,1993-07-24,,,,
438,37,HILL Alexander,Male,1993-03-11,,,,
439,37,PURNELL Alexander,Male,1995-01-30,,,,
440,10,PASCARI Cosmin,Male,1998-05-12,,,,
441,10,SEMCIUC Mugurel Vasile,Male,1998-01-24,,,,
442,10,TIGANESCU Mihaita,Male,1998-02-04,,,,
443,10,BERARIU Stefan,Male,1999-01-14,,,,
444,8,CASTALDO Matteo,Male,1985-12-11,,,,
445,8,VICINO Giuseppe,Male,1993-02-26,,,,
446,8,LODO Matteo,Male,1994-10-25,,,,
447,8,di COSTANZO Marco,Male,1992-06-09,,,,
448,2,WIERSMA Abe,Male,1994-08-14,,,,
449,2,WIETEN Tone,Male,1994-03-17,,,,
450,2,METSEMAKERS Koen,Male,1992-04-30,,,,
451,2,UITTENBOGAARD Lucas Theodoor Dirk,Male,1990-05-08,,,,
452,35,GROOM Angus,Male,1992-06-16,,,,
453,35,LEASK Harry,Male,1995-10-16,,,,
454,35,BARRAS Tom,Male,1994-01-07,,,,
455,35,BEAUMONT Jack,Male,1993-11-21,,,,
456,37,GIRDLESTONE Cameron,Male,1988-04-29,,,,
457,37,ANTILL Caleb,Male,1995-08-08,,,,
458,37,CLEARY Jack,Male,1995-08-08,,,,
459,37,LETCHER Luke,Male,1994-06-11,,,,
460,10,BODNAR Ancuta,Female,1998-09-25,,,,
461,10,RADIS Simona,Female,1999-04-05,,,,
462,50,OSBORNE Hannah,Female,1994-03-10,,,,
463,50,DONOGHUE Brooke,Female,1995-01-06,,,,
464,2,de JONG Roos,Female,1993-08-23,,,,
465,2,SCHEENAARD Lisa,Female,1988-09-05,,,,
466,37,STEPHAN Lucy,Female,1991-12-10,,,,
467,37,MORRISON Jessica,Female,1992-05-18,,,,
468,37,POPA Rosemary,Female,1991-12-30,,,,
469,37,McINTYRE Annabelle,Female,1996-09-12,,,,
470,2,HOGERWERF Ellen,Female,1989-02-10,,,,
471,2,CLEVERING Ymkje,Female,1995-07-17,,,,
472,2,FLORIJN Karolien,Female,1998-04-06,,,,
473,2,MEESTER Veronique,Female,1995-04-07,,,,
474,58,HEGARTY Emily,Female,1998-08-03,,,,
475,58,LAMBE Eimear,Female,1997-08-11,,,,
476,58,KEOGH Aifric,Female,1992-07-09,,,,
477,58,MURTAGH Fiona,Female,1995-07-11,,,,
478,9,ZHANG Ling,Female,1997-02-27,,,,
479,9,CHEN Yunxia,Female,1995-12-05,,,,
480,9,CUI Xiaotong,Female,1994-11-21,,,,
481,9,LYU Yang,Female,1993-11-26,,,,
482,59,ZILLMANN Katarzyna,Female,1995-07-26,,,,
483,59,KOBUS-ZAWOJSKA Agnieszka,Female,1990-08-28,,,,
484,59,SAJDAK Maria,Female,1991-07-30,,,,
485,59,WIELICZKO Marta,Female,1994-10-01,,,,
